Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,Value
1986,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.09903
1987,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.15074
1988,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",7.55237
1989,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",5.19977
1990,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",6.98855
1991,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",5.53178
1992,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-9.01557
1993,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.05146
1994,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",9.2352
1995,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",0.15803
1996,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",10.3607
1997,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.68059
1998,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.88521
1999,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-0.81782
2000,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-3.05919
2001,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.43962
2002,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-8.89402
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-16.99507
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-5.80754
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-5.71108
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-3.4615
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-3.65333
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-17.66895
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",12.01956
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",19.67532
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",14.19391
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",16.66543
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.98949
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",2.37693
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",1.77987
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",0.75587
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",4.70949
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",4.82421
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-6.14424
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",-6.24875
1960,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1961,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1962,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1963,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1964,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1965,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1966,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1967,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1968,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1969,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1970,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1971,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1972,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1973,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1974,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1975,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1976,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1977,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1978,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1979,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1980,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1981,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1982,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1983,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1984,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1985,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1986,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1987,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1988,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1989,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1990,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1991,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1992,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1993,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1994,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1995,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1996,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1997,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1998,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
1999,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2000,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2001,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2002,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2003,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2004,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2005,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2006,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2007,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2008,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2009,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2010,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2011,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2012,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2013,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2014,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2015,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2016,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.0
2017,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1.2534
2018,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",2.0381
2019,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",9.7184
2020,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",64.1011
1960,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",40.36124
1961,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",41.6725
1962,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",40.08584
1963,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",37.94701
1964,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",60.3054
1965,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",63.89943
1966,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",43.14416
1967,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",41.01641
1968,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",40.28116
1969,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",36.95655
1970,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",39.69841
1971,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",39.47278
1972,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",37.08366
1973,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",39.10129
1974,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",43.39352
1975,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",42.64177
1976,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",36.91206
1977,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",36.36254
1978,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",36.14762
1979,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",38.30064
1980,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",42.85157
1981,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",38.73243
1982,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",34.12298
1983,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",30.13884
1984,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",35.46844
1985,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",38.01493
1986,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",39.14742
1987,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",39.04341
1988,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",37.65939
1989,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",38.1834
1990,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",40.67708
1991,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",41.50909
1992,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",54.03266
1993,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",51.58587
1994,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",59.86351
1995,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",67.18912
1996,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",60.90156
1997,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",66.04083
1998,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",75.16438
1999,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",58.51549
2000,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",56.62218
2001,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",43.11398
2002,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",59.33351
2003,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",59.01259
2004,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",70.46647
2005,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",72.90779
2006,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",75.80967
2007,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",105.49986
2008,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",93.30338
2009,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",82.64195
2010,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",70.88726
2011,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",81.52081
